"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"
"Q869L9"	"DDB_G0349377"	"DDB_G0349377"	""
"Q869M2"	"DDB_G0275585"	"DDB_G0275585"	""
"Q869M4"	"DDB_G0275575"	"DDB_G0275575"	""
"Q869N1"	"DDB_G0275537"	"cytC"	"cytochrome c"
"Q869N2"	"DDB_G0276459"	"pakB"	"myosin heavy chain kinase PakB"
"Q869N3"	"DDB_G0276545"	"DDB_G0276545"	""
"Q869N4"	"DDB_G0276405"	"pfp1"	"DJ-1/ThiJ/PfpI family protein, peptidase C56 family protein"
"Q869N6"	"DDB_G0271866"	"DDB_G0271866"	"enoyl-CoA hydratase/isomerase family protein"
"Q869N7"	"DDB_G0271884"	"DDB_G0271884"	"putative quinone oxidoreductase, alcohol dehydrogenase"
"Q869N8"	"DDB_G0271854"	"DDB_G0271854"	"Uncharacterized protein YIR042C"
"Q869N9"	"DDB_G0271862"	"eif2s1"	"eukaryotic translation initiation factor 2 (eIF2) subunit 1"
"Q869P0"	"DDB_G0271708"	"ddx31"	"putative RNA helicase, DEAD/DEAH box helicase"
"Q869Q0"	"DDB_G0274527"	"DDB_G0274527"	"COBW domain-containing protein, cobalamin (vitamin B12) biosynthesis family protein, cobalamin synthesis protein/P47K family protein"
"Q869Q1"	"DDB_G0274525"	"rad9"	"component of 9-1-1 complex"
"Q869Q2"	"DDB_G0274521"	"rrs1"	"ribosome biogenesis regulatory protein"
"Q869Q3"	"DDB_G0274519"	"napA"	"component of SCAR regulatory complex"
"Q869Q6"	"DDB_G0274107"	"sfbA"	"unknown"
"Q869Q8"	"DDB_G0274511"	"DDB_G0274511"	"peptidase S10 family protein, serine carboxypeptidase"
"Q869Q9"	"DDB_G0274887"	"DDB_G0274887"	""
"Q869R1"	"DDB_G0274487"	"DDB_G0274487"	"Protein PNS1"
"Q869R3"	"DDB_G0274483"	"DDB_G0274483"	""
"Q869R5"	"DDB_G0274475"	"mdm34"	"mitochondrial distribution and morphology protein 34"
"Q869R8"	"DDB_G0274471"	"tpiA"	"triose phosphate isomerase, triosephosphate isomerase"
"Q869R9"	"DDB_G0274463"	"mybJ"	"myb domain-containing protein"
"Q869S3"	"DDB_G0274935"	"DDB_G0274935"	"lipin-related protein"
"Q869S5"	"DDB_G0274101"	"dokA"	"histidine kinase DokA"
"Q869S6"	"DDB_G0274451"	"DDB_G0274451"	""
"Q869S7"	"DDB_G0274449"	"scsB"	"succinate-CoA ligase (GDP-forming) beta subunit"
"Q869S8"	"DDB_G0274447"	"psmG2"	"proteasome assembly chaperone 2"
"Q869S9"	"DDB_G0274099"	"cbpE"	"calcium-binding protein"
"Q869T1"	"DDB_G0274437"	"twfA"	"twinfilin"
"Q869T2"	"DDB_G0274435"	"DDB_G0274435"	""
"Q869T5"	"DDB_G0274425"	"DDB_G0274425"	"protein phosphatase 2C-related protein"
"Q869T6"	"DDB_G0274949"	"DDB_G0274949"	""
"Q869T7"	"DDB_G0274409"	"pakF"	"STE20 family protein kinase PakF"
"Q869T9"	"DDB_G0274955"	"etnkA"	"ethanolamine kinase A"
"Q869U2"	"DDB_G0276469"	"syn16B"	"t-SNARE family protein, putative syntaxin 16"
"Q869U4"	"DDB_G0276443"	"usp7"	"meprin and TRAF homology (MATH) domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"
"Q869U5"	"DDB_G0276429"	"DDB_G0276429"	""
"Q869U6"	"DDB_G0276463"	"DG1112"	"RasGTPase-activating protein, leucine-rich repeat-containing protein (LRR)"
"Q869U7"	"DDB_G0276415"	"rps18"	"40S ribosomal protein S18"
"Q869V0"	"DDB_G0276549"	"DDB_G0276549"	"RapGAP/RanGAP domain-containing protein, putative RapGAP"
"Q869V1"	"DDB_G0276973"	"nramp1"	"solute carrier family 11 member 1"
"Q869W0"	"DDB_G0275173"	"hbx2"	"homeobox transcription factor Hbx2"
"Q869W1"	"DDB_G0275095"	"mgmt"	"methylated-DNA-[protein]-cysteine S-methyltransferase, 6-O-methylguanine-DNA methyltransferase"
"Q869W6"	"DDB_G0275057"	"DDB_G0275057"	"putative myosin light chain kinase DDB_G0275057"
"Q869W7"	"DDB_G0275061"	"slc35b4"	"UDP-N-acetylglucosamine transporter, solute carrier family 35 member B4"
"Q869W8"	"DDB_G0275067"	"DDB_G0275067"	"Retinitis pigmentosa 9 protein"
"Q869W9"	"DDB_G0275069"	"pks16"	"putative fatty acid synthase"
"Q869X0"	"DDB_G0275073"	"pwp1"	"WD40 repeat-containing protein, periodic tryptophan protein"
"Q869X1"	"DDB_G0275075"	"DDB_G0275075"	"tetratricopeptide-like helical domain-containing protein (TPR)"
"Q869X2"	"DDB_G0275077"	"pks17"	"fatty acid synthase Pks17"
"Q869X3"	"DDB_G0275165"	"DDB_G0275165"	"LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein"
"Q869X5"	"DDB_G0275017"	"DDB_G0275017"	"HAM group protein, MYST family protein, MOZ/SAS-like domain-containing protein, putative histone acetyltransferase"
"Q869X6"	"DDB_G0275015"	"DDB_G0275015"	""
"Q869X7"	"DDB_G0275159"	"DDB_G0275159"	"putative histone acetyltransferase"
"Q869Y3"	"DDB_G0275049"	"DDB_G0275049"	"short-chain dehydrogenase/reductase (SDR) family protein"
"Q869Y7"	"DDB_G0275029"	"odhB"	"dihydrolipoamide S-succinyltransferase, 2-oxoglutarate dehydrogenase E2 component, dihydrolipoyllysine-residue succinyltransferase"
"Q869Z0"	"DDB_G0275025"	"DDB_G0275025"	"thioredoxin domain-containing protein, putative protein disulfide-isomerase"
"Q869Z1"	"DDB_G0275313"	"dhx9"	"DEAD/DEAH box helicase, ATP-dependent RNA helicase"
"Q869Z3"	"DDB_G0271906"	"mgluS"	"glutamate-tRNA ligase, glutamyl-tRNA synthetase, glutamate-tRNA ligase, mitochondrial, glutamyl-tRNA synthetase, mitochondrial"
"Q869Z4"	"DDB_G0271904"	"DDB_G0271904"	"phosphoenolpyruvate carboxykinase (GTP), phosphoenolpyruvate carboxykinase"
"Q869Z5"	"DDB_G0271892"	"gst4"	"glutathione S-transferase 4"
"Q86A00"	"DDB_G0275523"	"DDB_G0275523"	""
"Q86A01"	"DDB_G0275515"	"asnB"	"asparagine synthetase"
"Q86A02"	"DDB_G0275635"	"pik6"	"ankyrin repeat-containing protein, phosphatidylinositol phosphate kinase"
"Q86A05"	"DDB_G0275507"	"DDB_G0275507"	"transferase hexapeptide repeat family protein, putative acetyltransferase"
"Q86A08"	"DDB_G0275495"	"cepE"	"centrosomal protein 91 kDa"
"Q86A12"	"DDB_G0275627"	"sky1"	"putative protein serine/threonine kinase, protein kinase, CMGC group, SRPK family protein kinase"
"Q86A13"	"DDB_G0275621"	"DDB_G0275621"	"SET domain-containing protein 6"
"Q86A14"	"DDB_G0272676"	"sf3a1"	"ubiquitin domain-containing protein, splicing factor 3A subunit 1"
"Q86A15"	"DDB_G0272823"	"DDB_G0272823"	""
"Q86A16"	"DDB_G0272680"	"DDB_G0272680"	"protein phosphatase 2C"
"Q86A17"	"DDB_G0272684"	"qdpr"	"dihydropteridine reductase"
"Q86A18"	"DDB_G0272686"	"DDB_G0272686"	"unknown"
"Q86A21"	"DDB_G0272969"	"psmB1"	"proteasome subunit beta type 1, 20S proteasome subunit beta-1"
"Q86A22"	"DDB_G0272704"	"cyp515A1"	"cytochrome P450 family protein"
"Q86A24"	"DDB_G0272708"	"DDB_G0272708"	"N(6)-adenine-specific DNA methyltransferase"
"Q86A30"	"DDB_G0272728"	"DDB_G0272728"	"unknown"
"Q86A35"	"DDB_G0272664"	"DDB_G0272664"	""
"Q86A67"	"DDB_G0274375"	"fba"	"fructose-bisphosphate aldolase, fructose 1,6-bisphosphate aldolase"
"Q86A68"	"DDB_G0274371"	"mpheS"	"phenylalanine-tRNA synthetase, phenylalanine-tRNA ligase, phenylalanine-tRNA ligase, mitochondrial, phenylalanine-tRNA synthetase, mitochondrial"
"Q86A69"	"DDB_G0274367"	"DDB_G0274367"	"cwfJ family protein"
"Q86A70"	"DDB_G0274365"	"DDB_G0274365"	"CUE domain-containing protein 1"
"Q86A72"	"DDB_G0274781"	"DDB_G0274781"	"calcium-binding protein, recoverin family protein, NCS-1/frequenin-related protein, S100/CaBP-9k-type calcium-binding domain-containing protein"
"Q86A73"	"DDB_G0274349"	"DDB_G0274349"	"UBX domain-containing protein 19"
"Q86A74"	"DDB_G0274585"	"DDB_G0274585"	"putative acyl-CoA oxidase"
"Q86A77"	"DDB_G0274331"	"DDB_G0274331"	"vacuolar ATP synthase subunit D"
"Q86A78"	"DDB_G0274577"	"DG1124"	"calcium-binding EF-hand domain-containing protein"
"Q86A79"	"DDB_G0274799"	"cpsf3"	"beta-lactamase domain-containing protein, DNA repair metallo-beta-lactamase domain-containing protein, cleavage and polyadenylation specificity factor 73 kDa subunit"
"Q86A81"	"DDB_G0274327"	"DDB_G0274327"	"IWS1 family protein"
"Q86A83"	"DDB_G0274739"	"DDB_G0274739"	"DHHC-type zinc finger-containing protein"
"Q86A84"	"DDB_G0274809"	"mppA1"	"mitochondrial processing peptidase alpha subunit"
"Q86A85"	"DDB_G0274321"	"purF"	"amidophosphoribosyltransferase, phosphoribosylpyrophosphate amidotransferase"
"Q86A88"	"DDB_G0274815"	"dlcB"	"cytoplasmic dynein light chain, dynein light chain LC8-type 2, dynein light chain type 1 family protein"
"Q86A90"	"DDB_G0274567"	"mtrpS"	"tryptophanyl-tRNA synthetase, tryptophan-tRNA ligase, putative mitochondrial tryptophanyl-tRNA synthetase, putative mitochondrial tryptophan-tRNA ligase"
"Q86A91"	"DDB_G0274309"	"DDB_G0274309"	"discoidin-like protein"
"Q86A92"	"DDB_G0274565"	"erh"	"enhancer of rudimentary family protein"
"Q86A95"	"DDB_G0274277"	"DDB_G0274277"	""
"Q86A97"	"DDB_G0274279"	"tssc1"	"WD40 repeat-containing protein"
"Q86AA1"	"DDB_G0274291"	"lyT2-4"	"putative T4-like lysozyme 2"
"Q86AC7"	"DDB_G0276913"	"DDB_G0276913"	""
"Q86AC8"	"DDB_G0276363"	"myoG"	"myosin-G heavy chain"
"Q86AC9"	"DDB_G0276361"	"DDB_G0276361"	"unknown"
"Q86AD2"	"DDB_G0276357"	"gemin1"	"component of gems 1"
"Q86AD3"	"DDB_G0276271"	"DDB_G0276271"	""
"Q86AD5"	"DDB_G0271564"	"pdhX"	"putative pyruvate dehydrogenase complex, component X"
"Q86AD6"	"DDB_G0271562"	"orcD"	"origin recognition complex subunit 4"
"Q86AD7"	"DDB_G0271550"	"DDB_G0271550"	"putative myosin light chain kinase DDB_G0271550"
"Q86AD8"	"DDB_G0271500"	"keaA"	"Kelch repeat-containing protein"
"Q86AD9"	"DDB_G0271544"	"acat"	"acetoacetyl-CoA thiolase"
"Q86AE1"	"DDB_G0271538"	"DDB_G0271538"	"LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein"
"Q86AE2"	"DDB_G0271532"	"DDB_G0271532"	"pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein"
"Q86AE3"	"DDB_G0271530"	"pks9"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"Q86AF0"	"DDB_G0271516"	"DDB_G0271516"	"phosphoesterase, PA-phosphatase related-family protein"
"Q86AF2"	"DDB_G0271606"	"DDB_G0271606"	""
"Q86AF3"	"DDB_G0277681"	"bzpH"	"putative basic-leucine zipper (bZIP) transcription factor"
"Q86AF6"	"DDB_G0272406"	"DDB_G0272406"	""
"Q86AF7"	"DDB_G0272144"	"DDB_G0272144"	""
"Q86AF8"	"DDB_G0272148"	"DDB_G0272148"	""
"Q86AG4"	"DDB_G0271740"	"DDB_G0271740"	"zinc-containing alcohol dehydrogenase (ADH)"
"Q86AG6"	"DDB_G0272020"	"DDB_G0272020"	"ankyrin repeat-containing protein, SH2 domain-containing protein, cyclin-like F-box containing protein"
"Q86AG7"	"DDB_G0272018"	"mvk"	"mevalonate kinase"
"Q86AH0"	"DDB_G0272000"	"DDB_G0272000"	""
"Q86AH1"	"DDB_G0271998"	"fsjB"	"rRNA methyltransferase, putative rRNA (uridine-2'-O-)-methyltransferase"
"Q86AH2"	"DDB_G0271996"	"DDB_G0271996"	"FNIP repeat-containing protein"
"Q86AH3"	"DDB_G0271994"	"DDB_G0271994"	""
"Q86AH4"	"DDB_G0271982"	"DDB_G0271982"	""
"Q86AH5"	"DDB_G0271970"	"DDB_G0271970"	""
"Q86AH6"	"DDB_G0271958"	"DDB_G0271958"	"putative glutathione S-transferase"
"Q86AP3"	"DDB_G0277265"	"DDB_G0277265"	""
"Q86AP4"	"DDB_G0277263"	"DDB_G0277263"	"Urea transporter 1"
"Q86AP7"	"DDB_G0277245"	"DDB_G0277245"	"threonine ammonia-lyase, serine/threonine dehydratase, threonine deaminase"
"Q86AQ3"	"DDB_G0277203"	"DDB_G0277203"	"NAD-dependent epimerase/dehydratase family protein"
"Q86AQ5"	"DDB_G0277199"	"rpc1"	"RNA polymerase III, largest subunit"
"Q86AQ7"	"DDB_G0277173"	"vamp7B"	"vesicle-associated membrane protein 7B"
"Q86AQ8"	"DDB_G0277171"	"DDB_G0277171"	""
"Q86AQ9"	"DDB_G0277169"	"DDB_G0277169"	""
"Q86AR0"	"DDB_G0277167"	"DDB_G0277167"	""
"Q86AR1"	"DDB_G0277217"	"DDB_G0277217"	"RNA-binding protein 27"
"Q86AS0"	"DDB_G0274399"	"DDB_G0274399"	"DNA2/NAM7 helicase family protein, SEN1-related protein"
"Q86AS1"	"DDB_G0274185"	"DDB_G0274185"	"putative oxidoreductase, Gfo/Idh/MocA family"
"Q86AS3"	"DDB_G0274177"	"DDB_G0274177"	"EGF-like domain-containing protein"
"Q86AS4"	"DDB_G0274995"	"DDB_G0274995"	"Uncharacterized RNA-binding protein YPL184C"
"Q86AS5"	"DDB_G0274387"	"dpoA"	"prolyl oligopeptidase"
"Q86AS6"	"DDB_G0274159"	"hisS"	"histidine-tRNA ligase, histidyl-tRNA synthetase"
"Q86AS7"	"DDB_G0274141"	"DDB_G0274141"	"V-type proton ATPase 21 kDa proteolipid subunit"
"Q86AT8"	"DDB_G0273531"	"spkA-2"	"ankyrin repeat-containing protein, SAM domain-containing protein, stress-activated MEK-like kinase, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase"
"Q86AT9"	"DDB_G0273475"	"dhkI-1"	"histidine kinase I"
"Q86AU1"	"DDB_G0274263"	"DDB_G0274263"	"putative glutathione S-transferase alpha-4"
"Q86AU2"	"DDB_G0274265"	"DDB_G0274265"	""
"Q86AU4"	"DDB_G0274239"	"eIF1"	"eukaryotic translation initiation factor 1, translation initiation factor SUI1"
"Q86AV4"	"DDB_G0276937"	"expl5"	"expansin-like protein"
"Q86AV5"	"DDB_G0276933"	"mcfX"	"mitochondrial substrate carrier family protein X"
"Q86AV6"	"DDB_G0276965"	"gltA"	"citrate synthase"
"Q86AV9"	"DDB_G0276919"	"pldG"	"glycosylphosphatidylinositol phospholipase D"
"Q86AW2"	"DDB_G0277763"	"DDB_G0277763"	""
"Q86AW8"	"DDB_G0277747"	"DDB_G0277747"	"UPF0454 protein C12orf49"
"Q86AW9"	"DDB_G0277743"	"guaD"	"guanine deaminase"
"Q86AX0"	"DDB_G0277737"	"DDB_G0277737"	""
"Q86AX2"	"DDB_G0277731"	"DDB_G0277731"	"EGF-like domain-containing protein"
"Q86AX3"	"DDB_G0277727"	"uroc1"	"urocanate hydratase, urocanase"
"Q86AY4"	"DDB_G0272340"	"trafG"	"TNF receptor-associated factor G"
"Q86AY8"	"DDB_G0272356"	"DDB_G0272356"	"Double C2-like domain-containing protein beta"
"Q86AZ6"	"DDB_G0276865"	"clcB"	"chloride channel protein, CLC 6/7  family protein"
"Q86AZ8"	"DDB_G0276855"	"DDB_G0276855"	""
"Q86B00"	"DDB_G0276835"	"glnA1"	"putative glutamine synthetase type I GlnA1"
"Q86B03"	"DDB_G0276833"	"gacS"	"RhoGAP domain-containing protein"
"Q86B05"	"DDB_G0272789"	"rlp24"	"ribosomal protein L24-like protein, putative ribosome biogenesis protein rlp24"
"Q86B06"	"DDB_G0272787"	"sds"	"L-serine ammonia-lyase, L-serine dehydratase, serine deaminase"
"Q86B07"	"DDB_G0272785"	"DDB_G0272785"	"acyloxyacyl hydrolase"
"Q86B08"	"DDB_G0272783"	"rliA"	"major facilitator superfamily protein"
"Q86B09"	"DDB_G0272781"	"pmmB"	"phosphomannomutase B"
"Q86B10"	"DDB_G0272777"	"DDB_G0272777"	"AAA ATPase domain-containing protein"
"Q86B11"	"DDB_G0272775"	"anapc8"	"anaphase promoting complex subunit 8"
"Q86B14"	"DDB_G0272760"	"mcm6"	"MCM family protein, putative DNA replication licensing factor"
"Q86B18"	"DDB_G0272748"	"DDB_G0272748"	""
"Q86B20"	"DDB_G0272078"	"eif3A"	"eukaryotic translation initiation factor 3 (eIF3) subunit A"
"Q86C65"	"DDB_G0281569"	"tor"	"TOR complex protein kinase Tor"
"Q86CR6"	"DDB_G0282929"	"atg12"	"autophagy protein 12"
"Q86CR8"	"DDB_G0286191"	"atg8a"	"autophagy protein 8a"
"Q86CR9"	"DDB_G0271096"	"atg7"	"autophagy protein 7"
"Q86CS2"	"DDB_G0292390"	"atg1"	"autophagy protein 1, protein serine/threonine kinase, ULK family protein kinase"
"Q86CZ2"	"DDB_G0277887"	"dhkK"	"histidine kinase K"
"Q86D86"	"DDB_G0283615"	"rpkA"	"receptor phosphatidylinositol kinase A"
"Q86G47"	"DDB_G0289665"	"gefQ"	"Ras guanine nucleotide exchange factor Q"
"Q86GL4"	"DDB_G0287101"	"noxB"	"superoxide-generating NADPH oxidase flavocytochrome B"
"Q86H13"	"DDB_G0289121"	"pde4"	"cAMP-specific phosphodiesterase 4"
"Q86H28"	"DDB_G0275669"	"DDB_G0275669"	"proline dehydrogenase"
"Q86H29"	"DDB_G0275667"	"DDB_G0275667"	"KTI12 family protein"
"Q86H31"	"DDB_G0275665"	"DDB_G0275665"	"transmembrane protein, yhhN family protein"
"Q86H35"	"DDB_G0275661"	"DDB_G0275661"	""
"Q86H36"	"DDB_G0275759"	"rpa1"	"RNA polymerase I, largest subunit"
"Q86H43"	"DDB_G0275655"	"malaS"	"alanyl-tRNA synthetase, alanine-tRNA ligase, putative mitochondrial alanyl-tRNA synthetase, putative mitochondrial alanine-tRNA ligase"
"Q86H44"	"DDB_G0275653"	"xrcc1"	"BRCT domain-containing protein, putative DNA repair protein XRCC1"
"Q86H45"	"DDB_G0275651"	"elp2"	"WD-40 repeat-containing protein, elongation protein 2, RNA polymerase II elongator complex subunit"
"Q86H47"	"DDB_G0275649"	"DDB_G0275649"	""
"Q86H49"	"DDB_G0275645"	"acn9"	"ACN9 family protein"
"Q86H52"	"DDB_G0275535"	"DDB_G0275535"	"transmembrane protein, phospholipid-translocating P-type ATPase family protein"
"Q86H55"	"DDB_G0275885"	"DDB_G0275885"	"MKI67 FHA domain-interacting nucleolar phosphoprotein"
"Q86H57"	"DDB_G0275527"	"DDB_G0275527"	""
"Q86H58"	"DDB_G0275529"	"DDB_G0275529"	""
"Q86H59"	"DDB_G0275531"	"DDB_G0275531"	""
"Q86H60"	"DDB_G0275525"	"hspK"	"heat shock protein Hsp20 domain-containing protein, putative alpha-crystallin-type heat shock protein"
"Q86H62"	"DDB_G0275555"	"DDB_G0275555"	"glutaredoxin family protein"
"Q86H64"	"DDB_G0275851"	"DDB_G0275851"	"OS-9-related protein"
"Q86H65"	"DDB_G0275849"	"DDB_G0275849"	"UPF0139 membrane protein"
"Q86H68"	"DDB_G0275551"	"DDB_G0275551"	""
"Q86H73"	"DDB_G0275609"	"DDB_G0275609"	""
"Q86H78"	"DDB_G0275597"	"DDB_G0275597"	""
"Q86H79"	"DDB_G0275801"	"DDB_G0275801"	"WWE domain-containing protein"
"Q86H80"	"DDB_G0275595"	"DDB_G0275595"	""
"Q86H81"	"DDB_G0275593"	"DDB_G0275593"	"2-nitropropane dioxygenase"
"Q86H82"	"DDB_G0275805"	"DDB_G0275805"	""
"Q86H83"	"DDB_G0275829"	"DDB_G0275829"	"ribosomal protein L49/IMG2"
"Q86H87"	"DDB_G0275587"	"DDB_G0275587"	""
"Q86H88"	"DDB_G0275583"	"DDB_G0275583"	"phosphatidylethanolamine-binding protein PEBP"
"Q86H89"	"DDB_G0275581"	"DDB_G0275581"	""
"Q86H91"	"DDB_G0275807"	"DDB_G0275807"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q86H93"	"DDB_G0275817"	"DDB_G0275817"	"unknown"
"Q86H94"	"DDB_G0275579"	"DDB_G0275579"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q86H96"	"DDB_G0275577"	"DDB_G0275577"	""
"Q86H98"	"DDB_G0275573"	"vps32"	"SNF7 family protein"
"Q86H99"	"DDB_G0275571"	"DDB_G0275571"	"Arf GTPase activating protein"
"Q86HA3"	"DDB_G0275691"	"DDB_G0275691"	""
"Q86HB7"	"DDB_G0276477"	"DDB_G0276477"	"unknown"
"Q86HB8"	"DDB_G0276475"	"cfaC"	"counting factor associated protein"
"Q86HC2"	"DDB_G0275685"	"DDB_G0275685"	""
"Q86HC3"	"DDB_G0275683"	"DDB_G0275683"	""
"Q86HC4"	"DDB_G0275681"	"DDB_G0275681"	""
"Q86HC5"	"DDB_G0275677"	"DDB_G0275677"	""
"Q86HC7"	"DDB_G0275673"	"DDB_G0275673"	"50S ribosomal protein L23"
"Q86HC9"	"DDB_G0275671"	"DDB_G0275671"	"esterase/lipase/thioesterase domain-containing protein"
"Q86HD0"	"DDB_G0280829"	"DDB_G0280829"	""
"Q86HD1"	"DDB_G0280831"	"DDB_G0280831"	"phosphoglycerate mutase family protein"
"Q86HD3"	"DDB_G0276411"	"mrt4"	"ribosomal protein L10 family protein, mRNA turnover protein 4"
"Q86HD4"	"DDB_G0276413"	"DDB_G0276413"	"armadillo repeat-containing protein"
"Q86HD7"	"DDB_G0276407"	"DDB_G0276407"	"adenylate kinase"
"Q86HD8"	"DDB_G0276543"	"DDB_G0276543"	""
"Q86HE0"	"DDB_G0276403"	"DDB_G0276403"	""
"Q86HE5"	"DDB_G0269248"	"cf45-1"	"CF complex subunit CF45-1"
"Q86HE8"	"DDB_G0276603"	"DDB_G0276603"	""
"Q86HE9"	"DDB_G0276601"	"DDB_G0276601"	""
"Q86HF0"	"DDB_G0276599"	"DDB_G0276599"	""
"Q86HF1"	"DDB_G0276597"	"DDB_G0276597"	""
"Q86HF2"	"DDB_G0276593"	"DDB_G0276593"	""
"Q86HF4"	"DDB_G0271864"	"mocs2l"	"molybdenum cofactor synthesis protein 2 large subunit"
"Q86HF5"	"DDB_G0271870"	"agnC"	"argonaut-like protein"
"Q86HF6"	"DDB_G0271856"	"vps52C"	"Vps52 / Sac2 family protein"
"Q86HF8"	"DDB_G0271852"	"rtaA"	"lipid-translocating exporter family protein RtaA"
"Q86HG0"	"DDB_G0271858"	"gmppA"	"GTP:alpha-D-mannose-1-phosphate guanylyltransferase, mannose-1-phosphate guanylyltransferase alpha"
"Q86HG3"	"DDB_G0271712"	"sigN6"	"SrfA-induced protein N6"
"Q86HG4"	"DDB_G0295685"	"sigN10"	"SrfA-induced protein N10"
"Q86HG9"	"DDB_G0271682"	"DDB_G0271682"	"SMAD/FHA domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase"
"Q86HH3"	"DDB_G0271686"	"grlB"	"GABA receptor GrlB"
"Q86HI2"	"DDB_G0271700"	"DDB_G0271700"	"thioredoxin-like protein"
"Q86HI9"	"DDB_G0271784"	"DDB_G0271784"	"unknown"
"Q86HK8"	"DDB_G0274539"	"DDB_G0274539"	"unknown"
"Q86HL0"	"DDB_G0274537"	"DDB_G0274537"	"putative phosphoinositide phosphatase"
"Q86HL1"	"DDB_G0274535"	"DDB_G0274535"	"unknown"
"Q86HL2"	"DDB_G0274533"	"DDB_G0274533"	""
"Q86HL5"	"DDB_G0274871"	"hgsB"	"hydroxymethylglutaryl-CoA synthase"
"Q86HL7"	"DDB_G0274523"	"DDB_G0274523"	"RNA recognition motif-containing protein RRM"
"Q86HL8"	"DDB_G0274517"	"osbE"	"oxysterol binding family protein, member 5"
"Q86HM1"	"DDB_G0274515"	"DDB_G0274515"	""
"Q86HM3"	"DDB_G0274513"	"DDB_G0274513"	""
"Q86HM4"	"DDB_G0274877"	"DDB_G0274877"	""
"Q86HM5"	"DDB_G0274509"	"DDB_G0274509"	""
"Q86HN0"	"DDB_G0274507"	"DDB_G0274507"	""
"Q86HN1"	"DDB_G0274889"	"gxcX"	"pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein, FYVE-type zinc finger-containing protein"
"Q86HN3"	"DDB_G0274895"	"DDB_G0274895"	""
"Q86HN5"	"DDB_G0274379"	"DDB_G0274379"	""
"Q86HN6"	"DDB_G0274505"	"DDB_G0274505"	"p21-activated protein kinase-interacting protein 1"
"Q86HN7"	"DDB_G0274503"	"plk"	"PLK family protein kinase Plk"
"Q86HN8"	"DDB_G0274501"	"mcfY"	"mitochondrial substrate carrier family protein Y"
"Q86HP1"	"DDB_G0274495"	"DDB_G0274495"	"HTTM domain-containing protein"
"Q86HP6"	"DDB_G0274491"	"DDB_G0274491"	"L-antigen family member"
"Q86HP7"	"DDB_G0274489"	"DDB_G0274489"	""
"Q86HP9"	"DDB_G0274485"	"DDB_G0274485"	""
"Q86HQ2"	"DDB_G0274117"	"abcG8"	"ABC transporter G family protein"
"Q86HQ3"	"DDB_G0274481"	"DDB_G0274481"	"putative phosphate exporter 5"
"Q86HQ4"	"DDB_G0274479"	"DDB_G0274479"	""
"Q86HQ5"	"DDB_G0274477"	"DDB_G0274477"	""
"Q86HQ6"	"DDB_G0274473"	"DDB_G0274473"	""
"Q86HQ8"	"DDB_G0274469"	"DDB_G0274469"	""
"Q86HQ9"	"DDB_G0274919"	"DDB_G0274919"	""
"Q86HR1"	"DDB_G0274467"	"DDB_G0274467"	""
"Q86HR3"	"DDB_G0274465"	"DDB_G0274465"	"unknown"
"Q86HR5"	"DDB_G0274461"	"DDB_G0274461"	""
"Q86HR7"	"DDB_G0274923"	"DDB_G0274923"	""
"Q86HS0"	"DDB_G0274457"	"coq9"	"ubiquinone biosynthesis protein"
"Q86HS2"	"DDB_G0274931"	"DDB_G0274931"	""
"Q86HS4"	"DDB_G0274933"	"DDB_G0274933"	""
"Q86HS8"	"DDB_G0274443"	"med30"	"putative mediator complex subunit 30"
"Q86HS9"	"DDB_G0274941"	"omt2"	"O-methyltransferase family 2 protein"
"Q86HT1"	"DDB_G0274441"	"psiL"	"PA14 domain-containing protein"
"Q86HT3"	"DDB_G0274439"	"DDB_G0274439"	"bolA family protein"
"Q86HT5"	"DDB_G0274433"	"DDB_G0274433"	"CBS (cystathionine-beta-synthase) domain-containing protein"
"Q86HT7"	"DDB_G0274423"	"DDB_G0274423"	"SH3 domain-containing protein"
"Q86HT9"	"DDB_G0274419"	"DDB_G0274419"	""
"Q86HU8"	"DDB_G0276473"	"DDB_G0276473"	"NAD-dependent epimerase/dehydratase family protein"
"Q86HU9"	"DDB_G0276471"	"DDB_G0276471"	""
"Q86HV3"	"DDB_G0276467"	"DDB_G0276467"	"unknown"
"Q86HV4"	"DDB_G0276427"	"osbF"	"oxysterol binding family protein, member 6"
"Q86HV5"	"DDB_G0276509"	"DDB_G0276509"	"unknown"
"Q86HV6"	"DDB_G0276431"	"DDB_G0276431"	""
"Q86HV8"	"DDB_G0276479"	"ctnC"	"countin3"
"Q86HW0"	"DDB_G0276433"	"DDB_G0276433"	"unknown"
"Q86HW1"	"DDB_G0276435"	"DDB_G0276435"	""
