"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"P54672"	"DDB_G0277139"	"apm2"	"clathrin-adaptor medium chain AP-2"	0.5
"Q54BF6"	"DDB_G0293646"	"mcfN"	"mitochondrial substrate carrier family protein N"	0.5
"Q54GC2"	"DDB_G0290277"	"nudt19"	"nucleoside diphosphate-linked moiety X motif 19"	0.5
"Q54GC8"	"DDB_G0290237"	"acbd6"	"ankyrin repeat-containing protein, acyl-CoA binding protein, acyl-CoA-binding domain-containing protein 6"	0.5
"Q54IE9"	"DDB_G0288801"	"scdA"	"delta 9 fatty acid desaturase ScdA"	0.5
"Q54LY6"	"DDB_G0286345"	"zplF"	"ZIP-like protein F"	0.5
"Q54NE6"	"DDB_G0285311"	"gpmA"	"phosphoglycerate mutase"	0.5
"Q54P30"	"DDB_G0284825"	"DDB_G0284825"	"RapGAP/RanGAP domain-containing protein, putative RanGAP"	0.5
"Q54QW5"	"DDB_G0283567"	"DDB_G0283567"	"unknown"	0.5
"Q54RV9"	"DDB_G0282819"	"sglA"	"sphingosine-1-phosphate lyase, S1P lyase"	0.5
"Q54T27"	"DDB_G0282035"	"eif2s2"	"eIF-3 beta, eukaryotic translation initiation factor 2 (eIF2) subunit 2"	0.5
"Q54WT0"	"DDB_G0279459"	"DDB_G0279459"	""	0.5
"Q54XH6"	"DDB_G0278961"	"DDB_G0278961"	"phytanoyl-CoA dioxygenase domain-containing protein"	0.5
"Q55DQ4"	"DDB_G0269570"	"rabggta"	"protein geranylgeranyltransferase type II, Rab geranylgeranyltransferase alpha subunit"	0.5
"Q55GC4"	"DDB_G0267728"	"uduA3"	"unknown protein UduA3"	0.5
"Q7KWV8"	"DDB_G0272518"	"DDB_G0272518"	""	0.5
"Q86AQ3"	"DDB_G0277203"	"DDB_G0277203"	"NAD-dependent epimerase/dehydratase family protein"	0.5
"Q86J23"	"DDB_G0274833"	"mapksp1"	"mitogen-activated protein kinase kinase 1-interacting protein, mitogen-activated protein kinase scaffold protein 1"	0.5
"Q86K95"	"DDB_G0277131"	"gxcBB"	"pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein, IQ calmodulin-binding domain-containing protein, calponin homology (CH) domain-containing protein"	0.5
"Q86KL1"	"DDB_G0274241"	"bre1"	"RING zinc finger-containing protein, RmlC-like cupin family protein"	0.5
"Q86L14"	"DDB_G0277087"	"purH"	"AICAR transformylase / IMP cyclohydrolase, inosine monophosphate cyclohydrolase / phosphoribosylaminoimidazolecarboxamide formyltransferase"	0.5
"Q9NIF3"	"DDB_G0267452"	"sonA"	"UAS domain-containing protein, ubiquilin domain-containing protein"	0.5
"O21038"	"DDB_G0294058"	"mrps13"	"ribosomal protein S13, ribosomal protein S13, mitochondrial"	0.51
"Q54BN3"	"DDB_G0293702"	"rfc3"	"replication factor C subunit 3"	0.51
"Q54CY5"	"DDB_G0292632"	"folC"	"tetrahydrofolylpolyglutamate synthase, folylpolyglutamate synthase"	0.51
"Q54D73"	"DDB_G0292380"	"fhbB"	"flavohemoglobin"	0.51
"Q54DA5"	"DDB_G0292410"	"DDB_G0292410"	"CCCH-type zinc finger-containing protein"	0.51
"Q54DI8"	"DDB_G0292212"	"vps26l"	"vacuolar protein sorting-associated protein 26 family protein"	0.51
"Q54DW7"	"DDB_G0291996"	"gxcU"	"pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein, FYVE-type zinc finger-containing protein"	0.51
"Q54IC9"	"DDB_G0288833"	"derl1"	"derlin-1"	0.51
"Q54J69"	"DDB_G0288273"	"rpl10"	"S60 ribosomal protein L10"	0.51
"Q54PD4"	"DDB_G0284629"	"DDB_G0284629"	"unknown"	0.51
"Q54Q31"	"DDB_G0284117"	"phbB"	"prohibitin"	0.51
"Q54WJ1"	"DDB_G0279627"	"DDB_G0279627"	""	0.51
"Q551M3"	"DDB_G0276491"	"mettl1"	"tRNA (guanine-N7-)-methyltransferase, tRNA(m7G46)-methyltransferase"	0.51
"Q55DG0"	"DDB_G0269670"	"DDB_G0269670"	"C2 domain-containing protein/WW domain-containing protein"	0.51
"Q55FM6"	"DDB_G0268036"	"DDB_G0268036"	"2,3-diketo-5-methylthio-1-phosphopentane enolase"	0.51
"Q55G28"	"DDB_G0267852"	"DDB_G0267852"	"maf family protein"	0.51
"Q769F7"	"DDB_G0278969"	"empC"	"emp24/gp25L/p24 family protein C"	0.51
"Q8T277"	"DDB_G0272542"	"prkag"	"AMP-activated protein kinase gamma subunit"	0.51
"Q8T2F3"	"DDB_G0277437"	"nubp1"	"nucleotide binding protein 1"	0.51
"Q1ZXI0"	"DDB_G0279095"	"ptsA"	"6-pyruvoyltetrahydropterin synthase"	0.52
"Q54C42"	"DDB_G0293244"	"DDB_G0293244"	"tRNA (uracil-5-)-methyltransferase"	0.52
"Q54CT2"	"DDB_G0292780"	"DDB_G0292780"	"Ran-binding protein 10"	0.52
"Q54CU8"	"DDB_G0292688"	"commd8"	"COMM domain-containing protein 8"	0.52
"Q54J57"	"DDB_G0288315"	"DDB_G0288315"	"transmembrane protein"	0.52
"Q54JW0"	"DDB_G0287769"	"ndufaf5"	"NADH dehydrogenase [ubiquinone] complex 1 assembly factor 5"	0.52
"Q54KR1"	"DDB_G0287159"	"cysS"	"cysteinyl-tRNA synthetase, cysteine-tRNA ligase"	0.52
"Q54M70"	"DDB_G0286149"	"dnpep"	"aspartyl aminopeptidase"	0.52
"Q54QC8"	"DDB_G0283937"	"sec1"	"Sec1-like family protein"	0.52
"Q54QH6"	"DDB_G0283823"	"DDB_G0283823"	""	0.52
"Q54SE2"	"DDB_G0282517"	"DDB_G0282517"	"AhpC/TSA family protein"	0.52
"Q54SI2"	"DDB_G0282759"	"DDB_G0282759"	""	0.52
"Q54SQ6"	"DDB_G0282301"	"DDB_G0282301"	""	0.52
"Q54WI4"	"DDB_G0279641"	"sae1"	"sumo-activating enzyme subunit 1, ubiquitin-like 1-activating enzyme E1A"	0.52
"Q54Z08"	"DDB_G0277977"	"xab2"	"TPR-like helical domain-containing protein, tetratricopeptide-like helical domain-containing protein (TPR)"	0.52
"Q556V5"	"DDB_G0273795"	"DDB_G0273795"	""	0.52
"Q55BE6"	"DDB_G0271298"	"rpl27"	"S60 ribosomal protein L27"	0.52
"Q55CI6"	"DDB_G0270044"	"DDB_G0270044"	""	0.52
"Q55GG1"	"DDB_G0267688"	"cpnD"	"phospholipid-binding protein, copine D"	0.52
"Q86HG0"	"DDB_G0271858"	"gmppA"	"GTP:alpha-D-mannose-1-phosphate guanylyltransferase, mannose-1-phosphate guanylyltransferase alpha"	0.52
"Q86IL5"	"DDB_G0272668"	"ppr2"	"protein phosphatase 4 regulatory subunit 2"	0.52
"Q8TA03"	"DDB_G0277885"	"gnd"	"6-phosphogluconate dehydrogenase (decarboxylating)"	0.52
"O15736"	"DDB_G0275323"	"tipD"	"autophagy protein 16"	0.53
"Q54DG1"	"DDB_G0292270"	"comG"	"aldehyde dehydrogenase, putative NAD-dependent aldehyde dehydrogenase"	0.53
"Q54E30"	"DDB_G0291828"	"DDB_G0291828"	""	0.53
"Q54E40"	"DDB_G0291816"	"DDB_G0291816"	"Thiosulfate sulfurtransferase"	0.53
"Q54H73"	"DDB_G0289671"	"DDB_G0289671"	"alpha/beta hydrolase fold-1 domain-containing protein"	0.53
"Q54LQ6"	"DDB_G0286495"	"itpa"	"inosine triphosphate pyrophosphatase, inosine triphosphatase"	0.53
"Q54NL4"	"DDB_G0285175"	"vmp1"	"vacuole membrane protein 1"	0.53
"Q54QE4"	"DDB_G0283987"	"purC/E"	"phosphoribosylaminoimidazole carboxylase (AIR carboxylase), phosphoribosylaminoimidazolesuccinocarboxamide synthase (SAICAR synthase), PAICS"	0.53
"Q54QR8"	"DDB_G0283669"	"DDB_G0283669"	"ubiquinol-cytochrome-c reductase subunit"	0.53
"Q54WU6"	"DDB_G0279427"	"sesn"	"sestrin-like protein"	0.53
"Q551Y3"	"DDB_G0276167"	"DDB_G0276167"	"putative serine/cysteine peptidase"	0.53
"Q55CJ6"	"DDB_G0270032"	"DDB_G0270032"	""	0.53
"Q55F60"	"DDB_G0268244"	"DDB_G0268244"	"DNA topoisomerase 2-associated protein PAT1"	0.53
"Q76P29"	"DDB_G0272318"	"DDB_G0272318"	"putative importin subunit alpha B"	0.53
"Q869Y3"	"DDB_G0275049"	"DDB_G0275049"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.53
"Q86H36"	"DDB_G0275759"	"rpa1"	"RNA polymerase I, largest subunit"	0.53
"Q86IX2"	"DDB_G0274591"	"dolpp1"	"dolichyldiphosphatase 1"	0.53
"Q86KU6"	"DDB_G0277725"	"thfA"	"methylenetetrahydrofolate dehydrogenase (NAD+)"	0.53
"Q86L03"	"DDB_G0276873"	"DDB_G0276873"	""	0.53
"Q9GS21"	"DDB_G0282379"	"rpl28"	"60S ribosomal protein L28"	0.53
"Q9UAG7"	"DDB_G0292378"	"fhbA"	"flavohemoglobin"	0.53
"B0G108"	"DDB_G0274237"	"DDB_G0274237"	"DUF614 family protein"	0.54
"Q54C48"	"DDB_G0293252"	"DDB_G0293252"	"putative RNA binding protein"	0.54
"Q54D59"	"DDB_G0292468"	"DDB_G0292468"	"Protein KRI1 homolog"	0.54
"Q54EV7"	"DDB_G0291306"	"xpo1"	"exportin 1, chromosome region maintenance protein 1"	0.54
"Q54QH4"	"DDB_G0283827"	"wasC"	"WASP-related protein C"	0.54
"Q54VK5"	"DDB_G0280281"	"bpiL"	"putative bactericidal permeability-increasing family protein L"	0.54
"Q54XE5"	"DDB_G0279015"	"dsd"	"D-serine dehydrase"	0.54
"Q54XX2"	"DDB_G0278541"	"DDB_G0278541"	"membrane bound O-acyl transferase family protein"	0.54
"Q54YX5"	"DDB_G0278027"	"snrpD1"	"LSM (like-Sm) domain-containing protein, putative small nuclear ribonucleoprotein D1"	0.54
"Q556G3"	"DDB_G0272632"	"DDB_G0272632"	"putative glutathione S-transferase alpha-2"	0.54
"Q55DD8"	"DDB_G0270916"	"DDB_G0270916"	""	0.54
"Q55FU2"	"DDB_G0267950"	"copE"	"coatomer protein complex epsilon subunit"	0.54
"Q75JJ3"	"DDB_G0276089"	"DDB_G0276089"	""	0.54
"Q86HT7"	"DDB_G0274423"	"DDB_G0274423"	"SH3 domain-containing protein"	0.54
"O00897"	"DDB_G0269104"	"calB"	"calmodulin-like protein"	0.55
"Q54BJ7"	"DDB_G0293714"	"DDB_G0293714"	""	0.55
"Q54CK6"	"DDB_G0292974"	"vti1A"	"v-SNARE family protein"	0.55
"Q54DL6"	"DDB_G0292140"	"DDB_G0292140"	"SET domain-containing protein"	0.55
"Q54DY9"	"DDB_G0291910"	"bcs1lB"	"mitochondrial chaperone BCS1, mitochondrial ATPase"	0.55
"Q54E38"	"DDB_G0291820"	"DDB_G0291820"	""	0.55
"Q54ED0"	"DDB_G0291574"	"DDB_G0291574"	"putative transmembrane protein"	0.55
"Q54GB3"	"DDB_G0290363"	"sybB"	"synaptobrevin domain-containing protein"	0.55
"Q54HD4"	"DDB_G0289523"	"copZa"	"clathrin adaptor complex, small chain family protein, coatomer protein complex zeta subunit"	0.55
"Q54JG8"	"DDB_G0288069"	"DDB_G0288069"	""	0.55
"Q54L12"	"DDB_G0286959"	"DDB_G0286959"	"unknown"	0.55
"Q54LM1"	"DDB_G0286575"	"DDB_G0286575"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.55
"Q54LQ7"	"DDB_G0286487"	"DDB_G0286487"	"seven transmembrane domain protein"	0.55
"Q54ML6"	"DDB_G0285871"	"DDB_G0285871"	"Ran GTPase binding protein, Mog1 family protein, RAN guanine nucleotide release factor"	0.55
"Q54N83"	"DDB_G0285451"	"leuS"	"leucyl-tRNA synthetase, leucine-tRNA ligase"	0.55
"Q54NR1"	"DDB_G0285025"	"alrE"	"aldo-keto reductase"	0.55
"Q54PP3"	"DDB_G0284405"	"mrpl15"	"ribosomal protein L15, mitochondrial"	0.55
"Q54WB6"	"DDB_G0279769"	"psmG1"	"proteasome assembly chaperone 1"	0.55
"Q54WY5"	"DDB_G0279321"	"DDB_G0279321"	"Ribosomal RNA-processing protein 1"	0.55
"Q54XT5"	"DDB_G0278757"	"DDB_G0278757"	"DIS3-like exonuclease 2"	0.55
"Q54Y08"	"DDB_G0278483"	"ngap"	"RasGTPase-activating protein NgaP"	0.55
"Q554G7"	"DDB_G0275211"	"srp19"	"signal recognition particle 19 kDa subunit"	0.55
"Q55EJ3"	"DDB_G0268868"	"nat10"	"putative N-acetyltransferase"	0.55
"Q55EQ3"	"DDB_G0269086"	"DDB_G0269086"	"alpha/beta hydrolase fold-1 domain-containing protein"	0.55
"Q55FX4"	"DDB_G0268386"	"DDB_G0268386"	"SET domain-containing protein"	0.55
"Q55GE5"	"DDB_G0268320"	"DDB_G0268320"	"CHAPS family protein"	0.55
"Q86JC5"	"DDB_G0275957"	"sf3b1"	"HEAT repeat-containing protein, armadillo-like helical domain-containing protein, splicing factor 3B subunit 1"	0.55
"Q54ID4"	"DDB_G0288823"	"lzic"	"leucine zipper and ICAT homologous protein LZIC"	0.56
"Q54P14"	"DDB_G0284879"	"commd2"	"COMM domain-containing protein 2"	0.56
"Q54UR2"	"DDB_G0280877"	"DDB_G0280877"	""	0.56
"Q54VI4"	"DDB_G0280317"	"DDB_G0280317"	"putative glutathione S-transferase alpha-3"	0.56
"Q553H6"	"DDB_G0275835"	"DDB_G0275835"	""	0.56
"Q55E21"	"DDB_G0270866"	"magoh"	"mago nashi protein"	0.56
"Q55FL5"	"DDB_G0268056"	"sptA"	"serine C-palmitoyltransferase subunit 1"	0.56
"Q55GR1"	"DDB_G0267552"	"DDB_G0267552"	"putative NADH dehydrogenase (ubiquinone), putative NADH-ubiquinone oxidoreductase 13 kDa subunit"	0.56
"Q76NU8"	"DDB_G0277487"	"DDB_G0277487"	""	0.56
"Q86HW2"	"DDB_G0349487"	"DDB_G0349487"	""	0.56
"O76187"	"DDB_G0288771"	"darA"	"darlin"	0.57
"Q1ZXH8"	"DDB_G0279733"	"gxcDD"	"putative Rac guanyl-nucleotide exchange factor DD"	0.57
"Q54E01"	"DDB_G0291942"	"DDB_G0291942"	"NudC domain-containing protein 2"	0.57
"Q54FB7"	"DDB_G0291047"	"xdh"	"xanthine dehydrogenase"	0.57
"Q54PX3"	"DDB_G0284245"	"DDB_G0284245"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, CCHC-type zinc finger-containing protein"	0.57
"Q54QX3"	"DDB_G0283587"	"csn1"	"COP9 signalosome complex subunit 1, proteasome component region PCI (PINT) domain-containing protein"	0.57
"Q54RZ3"	"DDB_G0282823"	"DDB_G0282823"	"tetratricopeptide repeat-containing protein"	0.57
"Q54WH5"	"DDB_G0279657"	"elmoE"	"engulfment and cell motility ELM family protein E"	0.57
"Q54WR2"	"DDB_G0279487"	"DDB_G0279487"	"HEAT repeat-containing protein, armadillo-like helical domain-containing protein, GCN1-like protein"	0.57
"Q552C9"	"DDB_G0276189"	"DDB_G0276189"	""	0.57
"Q556G9"	"DDB_G0274069"	"DDB_G0274069"	""	0.57
"Q559X6"	"DDB_G0272138"	"rab2B"	"Rab GTPase"	0.57
"Q55BA7"	"DDB_G0271398"	"mon2"	"unknown"	0.57
"Q55BP5"	"DDB_G0270418"	"top2"	"DNA topoisomerase II"	0.57
"Q55BS9"	"DDB_G0270380"	"rpl30"	"S60 ribosomal protein L30"	0.57
"Q55DE2"	"DDB_G0269688"	"sdad1"	"SDA1 domain-containing protein"	0.57
"Q55E92"	"DDB_G0269340"	"DDB_G0269340"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.57
"Q55EJ0"	"DDB_G0269022"	"DDB_G0269022"	""	0.57
"Q55EK6"	"DDB_G0268848"	"DDB_G0268848"	"putative ATP binding protein"	0.57
"Q55G10"	"DDB_G0268472"	"naprt"	"nicotinate phosphoribosyltransferase-like protein"	0.57
"Q55GE2"	"DDB_G0267704"	"mcfT"	"mitochondrial substrate carrier family protein T"	0.57
"Q55GU3"	"DDB_G0268478"	"DDB_G0268478"	"UPF0041 family protein"	0.57
"Q7KWN0"	"DDB_G0272740"	"DDB_G0272740"	"putative histone-like transcription factor"	0.57
"Q86AE1"	"DDB_G0271538"	"DDB_G0271538"	"LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein"	0.57
"Q86HR5"	"DDB_G0274461"	"DDB_G0274461"	""	0.57
"Q86JC9"	"DDB_G0275959"	"DDB_G0275959"	"cellular retinaldehyde-binding/triple function domain-containing protein"	0.57
"Q8MNF7"	"DDB_G0271694"	"DDB_G0271694"	""	0.57
"B0G141"	"DDB_G0282979"	"efa1G"	"glutathione S-transferase domain-containing protein, elongation factor 1 gamma, elongation factor 1g"	0.58
"O96626"	"DDB_G0288319"	"arcE"	"actin-related protein 2/3 complex, subunit 5"	0.58
"Q54BW8"	"DDB_G0293370"	"DDB_G0293370"	""	0.58
"Q54EN1"	"DDB_G0291440"	"coq6"	"monooxygenase"	0.58
"Q54GH8"	"DDB_G0290147"	"DDB_G0290147"	"50S ribosomal protein L30"	0.58
"Q54GK6"	"DDB_G0290091"	"rpl22a"	"S60 ribosomal protein L22"	0.58
"Q54H39"	"DDB_G0289721"	"ap2s1"	"adaptor-related protein complex 2, sigma 1 subunit, sigma adaptin"	0.58
"Q54H96"	"DDB_G0289611"	"usp40"	"peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.58
"Q54I80"	"DDB_G0288935"	"panC"	"pantoate-beta-alanine ligase"	0.58
"Q54JM3"	"DDB_G0287965"	"nae1"	"amyloid beta precursor protein-binding protein 1, NEDD8-activating enzyme E1 regulatory subunit"	0.58
"Q54JR2"	"DDB_G0287691"	"abcC3"	"ABC transporter C family protein"	0.58
"Q54JS1"	"DDB_G0287825"	"DDB_G0287825"	""	0.58
"Q54K99"	"DDB_G0287509"	"DDB_G0287509"	"UbiA prenyltransferase family protein, putative 1,4-dihydroxy-2-naphthoate octaprenyltransferase"	0.58
"Q54M71"	"DDB_G0286147"	"pfdn6"	"prefoldin beta-like domain containing protein, prefoldin subunit 6"	0.58
"Q54MB4"	"DDB_G0286059"	"asns"	"asparagine synthetase"	0.58
"Q54N06"	"DDB_G0285579"	"nup107"	"nucleoporin 107"	0.58
"Q54N53"	"DDB_G0285497"	"DDB_G0285497"	"unknown"	0.58
"Q54PK7"	"DDB_G0284493"	"DDB_G0284493"	""	0.58
"Q54PX1"	"DDB_G0284249"	"DDB_G0284249"	"peptidase M41, FtsH domain-containing protein"	0.58
"Q54QE2"	"DDB_G0283991"	"DDB_G0283991"	"UPF0394 inner membrane protein yeeE"	0.58
"Q54T59"	"DDB_G0281985"	"sec23"	"putative transport protein"	0.58
"Q54T86"	"DDB_G0281827"	"dwwA"	"WW domain-containing protein"	0.58
"Q54V55"	"DDB_G0280607"	"pfdn5"	"prefoldin subunit 5, prefoldin alpha-like domain containing protein"	0.58
"Q54VS2"	"DDB_G0280171"	"psiP"	"PA14 domain-containing protein"	0.58
"Q54X04"	"DDB_G0279287"	"DDB_G0279287"	"cysteine desulfurase, mitochondrial precursor"	0.58
"Q54X53"	"DDB_G0279387"	"rpl21"	"S60 ribosomal protein L21"	0.58
"Q54Y27"	"DDB_G0278455"	"DDB_G0278455"	"Peptidyl-prolyl cis-trans isomerase FKBP6"	0.58
"Q54Y63"	"DDB_G0278395"	"DDB_G0278395"	""	0.58
"Q54Y92"	"DDB_G0277841"	"ctr9"	"RNA polymerase II complex component"	0.58
"Q54YD8"	"DDB_G0278285"	"copB2"	"WD40 repeat-containing protein, coatomer protein complex beta 2 subunit (beta prime)"	0.58
"Q553C7"	"DDB_G0275859"	"DDB_G0275859"	"leucine-rich repeat-containing protein (LRR)"	0.58
"Q553P5"	"DDB_G0275429"	"syn8A"	"syntaxin 8, t-SNARE family protein"	0.58
"Q55GC2"	"DDB_G0267730"	"dst2"	"STE20 family protein kinase Dst2"	0.58
"Q55GC9"	"DDB_G0267722"	"DDB_G0267722"	""	0.58
"Q75JC0"	"DDB_G0271816"	"DDB_G0271816"	""	0.58
"Q86KZ5"	"DDB_G0272324"	"sbds"	"Shwachman-Bodian-Diamond syndrome protein"	0.58
"Q8T1E2"	"DDB_G0275569"	"DDB_G0275569"	""	0.58
"C7G055"	"DDB_G0295779"	"DDB_G0295779"	"EGF-like domain-containing protein"	0.59
"P54686"	"DDB_G0278733"	"aip1"	"actin-interacting protein 1"	0.59
"Q54EK0"	"DDB_G0291606"	"vps8"	"RING zinc finger-containing protein, WD40 repeat-containing protein"	0.59
"Q54JC2"	"DDB_G0288155"	"DDB_G0288155"	"trimeric LpxA-like domain-containing protein"	0.59
"Q54M82"	"DDB_G0286171"	"uqcrb"	"cytochrome bd ubiquinol oxidase, 14 kDa subunit"	0.59
"Q54MP9"	"DDB_G0285803"	"DDB_G0285803"	"N-acetyltransferase, GCN5-related N-acetyltransferase"	0.59
"Q54N97"	"DDB_G0285381"	"polD1"	"DNA polymerase delta catalytic subunit, DNA polymerase delta subunit 1, DNA polymerase subunit delta p125"	0.59
"Q54PU3"	"DDB_G0284289"	"DDB_G0284289"	""	0.59
"Q54QQ2"	"DDB_G0283697"	"DDB_G0283697"	"unknown"	0.59
"Q54R72"	"DDB_G0283359"	"eftud2"	"U5 small nuclear ribonucleoprotein subunit, elongation factor Tu domain-containing protein, small GTP-binding protein domain-containing protein"	0.59
"Q54RR4"	"DDB_G0282969"	"masB"	"malate synthase"	0.59
"Q54RY8"	"DDB_G0282831"	"pcbd"	"pterin-4-alpha-carbinolamine dehydratase"	0.59
"Q54WD6"	"DDB_G0279739"	"trmt5"	"tRNA (guanine-N1-)-methyltransferase, tRNA [GM37] methyltransferase"	0.59
"Q54X97"	"DDB_G0279109"	"eif3C"	"eukaryotic translation initiation factor 3 (eIF3) subunit C"	0.59
"Q54XA9"	"DDB_G0279089"	"DDB_G0279089"	""	0.59
"Q54XF7"	"DDB_G0278991"	"culE"	"cullin E"	0.59
"Q551H5"	"DDB_G0276575"	"syn16A"	"t-SNARE family protein, putative syntaxin 16"	0.59
"Q553P6"	"DDB_G0275381"	"DDB_G0275381"	"ribosome-associated membrane protein, stress-associated endoplasmic reticulum protein"	0.59
"Q556V1"	"DDB_G0273089"	"coq10-1"	"putative coenzyme Q-binding protein"	0.59
"Q55BZ4"	"DDB_G0270298"	"pctA"	"phosphoethanolamine-cytidyltransferase, cytidylyltransferase domain-containing protein"	0.59
"Q55F07"	"DDB_G0268684"	"DDB_G0268684"	"Protein MAK10 homolog"	0.59
"Q55FT6"	"DDB_G0268404"	"DDB_G0268404"	"DENN domain-containing protein"	0.59
"Q55GE4"	"DDB_G0268504"	"DDB_G0268504"	"AAA ATPase domain-containing protein"	0.59
"Q86H96"	"DDB_G0275577"	"DDB_G0275577"	""	0.59
"Q86JE3"	"DDB_G0272128"	"DDB_G0272128"	"3-hydroxyacyl-CoA dehydrogenase type-2, 17-beta-hydroxysteroid dehydrogenase 10"	0.59
"B0M0Q3"	"DDB_G0272232"	"DDB_G0272232"	"putative transmembrane protein"	0.6
"Q23885"	"DDB_G0294076"	"DidioMp21"	"unknown"	0.6
"Q54D57"	"DDB_G0292472"	"DDB_G0292472"	""	0.6
"Q54E54"	"DDB_G0291798"	"DDB_G0291798"	""	0.6
"Q54ES3"	"DDB_G0291368"	"serB"	"phosphoserine phosphatase"	0.6
"Q54JQ8"	"DDB_G0287843"	"DDB_G0287843"	"Hippocampus abundant transcript-like protein 1"	0.6
"Q54K47"	"DDB_G0287607"	"pcna"	"proliferating cell nuclear antigen"	0.6
"Q54K91"	"DDB_G0287519"	"DDB_G0287519"	"acetyl-coA hydrolase"	0.6
"Q54NJ8"	"DDB_G0285193"	"hprT"	"hypoxanthine phosphoribosyltransferase"	0.6
"Q54RV6"	"DDB_G0282887"	"trappc2"	"trafficking protein particle complex subunit 2"	0.6
"Q54S11"	"DDB_G0282725"	"vilD"	"villin-like protein D"	0.6
"Q54SU6"	"DDB_G0282213"	"DDB_G0282213"	""	0.6
"Q54VV7"	"DDB_G0280111"	"DDB_G0280111"	"NAK family protein kinase DDB_G0280111"	0.6
"Q54YS7"	"DDB_G0278105"	"DDB_G0278105"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, heterogeneous nuclear ribonucleoprotein L-like protein"	0.6
"Q554I8"	"DDB_G0275239"	"zizC"	"DOCK family protein, putative guanine nucleotide exchange factor (GEF)"	0.6
"Q55BY3"	"DDB_G0270314"	"crip"	"LIM-type zinc finger-containing protein, cysteine-rich protein"	0.6
"Q55CQ7"	"DDB_G0269948"	"tnpo"	"transportin"	0.6
"Q55DB5"	"DDB_G0270622"	"DDB_G0270622"	""	0.6
"Q869Q6"	"DDB_G0274107"	"sfbA"	"unknown"	0.6
"Q86AS0"	"DDB_G0274399"	"DDB_G0274399"	"DNA2/NAM7 helicase family protein, SEN1-related protein"	0.6
"Q86H62"	"DDB_G0275555"	"DDB_G0275555"	"glutaredoxin family protein"	0.6
"Q86I22"	"DDB_G0275071"	"fahd1"	"Fumarylacetoacetate (FAA) hydrolase domain-containing protein"	0.6
"Q9BMX0"	"DDB_G0288613"	"erf1"	"eukaryotic translation termination factor 1, eukaryotic petide chain release factor subunit 1"	0.6
"O15692"	"DDB_G0285251"	"rsc43"	"Protein DRE2"	0.61
"O21036"	"DDB_G0294060"	"mrps8"	"ribosomal protein S8, ribosomal protein S8, mitochondrial"	0.61
"P0CC06"	"DDB_G0284701"	"DDB_G0284701"	"mandelate racemase/muconate lactonizing enzyme domain-containing protein"	0.61
"P0DJ26"	"DDB_G0277833"	"cofA"	"cofilin"	0.61
"Q23884"	"DDB_G0294040"	"mrpl11"	"S60 ribosomal protein L11, ribosomal protein L11, mitochondrial"	0.61
"Q54BK2"	"DDB_G0293538"	"dcd2A"	"neutral/alkaline nonlysosomal ceramidase family protein, acid ceramidase"	0.61
"Q54EB4"	"DDB_G0291600"	"ldpA"	"lipid droplet membrane protein Ldp"	0.61
"Q54EF7"	"DDB_G0291640"	"DDB_G0291640"	""	0.61
"Q54F07"	"DDB_G0291179"	"metK"	"S-adenosylmethionine synthetase"	0.61
"Q54F32"	"DDB_G0291145"	"msrB"	"peptide methionine sulfoxide reductase, peptide-methionine (R)-S-oxide reductase"	0.61
"Q54FH4"	"DDB_G0290857"	"DDB_G0290857"	""	0.61
"Q54IP9"	"DDB_G0288599"	"DDB_G0288599"	"membrane bound O-acyl transferase family protein"	0.61
"Q54JB6"	"DDB_G0288165"	"DDB_G0288165"	"molybdenum cofactor sulfurase domain-containing protein"	0.61
"Q54JW8"	"DDB_G0287759"	"DDB_G0287759"	""	0.61
"Q54KH4"	"DDB_G0287343"	"DDB_G0287343"	""	0.61
"Q54M42"	"DDB_G0286219"	"DDB_G0286219"	"SNF2-related domain-containing protein, HEAT repeat-containing protein, armadillo-like helical domain-containing protein, CHR group protein, helicase, C-terminal domain-containing protein, putative TBP-associated factor"	0.61
"Q54NT2"	"DDB_G0284997"	"DDB_G0284997"	"SH3 domain-containing protein, BAR domain-containing protein"	0.61
"Q54QH7"	"DDB_G0283889"	"DDB_G0283889"	"unknown"	0.61
"Q54X16"	"DDB_G0279265"	"DDB_G0279265"	"UPF0559 protein"	0.61
"Q551A1"	"DDB_G0276721"	"tyrS"	"tyrosine-tRNA ligase, tyrosyl-tRNA synthetase"	0.61
"Q552L5"	"DDB_G0275979"	"thoc7"	"unknown"	0.61
"Q555G0"	"DDB_G0274897"	"DDB_G0274897"	"ubiquitin-conjugating enzyme E2"	0.61
"Q557D2"	"DDB_G0273639"	"g6pd-2"	"glucose 6-phosphate-1-dehydrogenase"	0.61
